merge_key,id,date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHoursAsleep
1503960366_2016-04-12,1503960366,4/12/2016,1,327,346,5.45
1503960366_2016-04-13,1503960366,4/13/2016,2,384,407,6.4
1503960366_2016-04-15,1503960366,4/15/2016,1,412,442,6.866666667
1503960366_2016-04-16,1503960366,4/16/2016,2,340,367,5.666666667
1503960366_2016-04-17,1503960366,4/17/2016,1,700,712,11.66666667
1503960366_2016-04-19,1503960366,4/19/2016,1,304,320,5.066666667
1503960366_2016-04-20,1503960366,4/20/2016,1,360,377,6
1503960366_2016-04-21,1503960366,4/21/2016,1,325,364,5.416666667
1503960366_2016-04-23,1503960366,4/23/2016,1,361,384,6.016666667
1503960366_2016-04-24,1503960366,4/24/2016,1,430,449,7.166666667
1503960366_2016-04-25,1503960366,4/25/2016,1,277,323,4.616666667
1503960366_2016-04-26,1503960366,4/26/2016,1,245,274,4.083333333
1503960366_2016-04-28,1503960366,4/28/2016,1,366,393,6.1
1503960366_2016-04-29,1503960366,4/29/2016,1,341,354,5.683333333
1503960366_2016-04-30,1503960366,4/30/2016,1,404,425,6.733333333
1503960366_2016-05-01,1503960366,5/1/2016,1,369,396,6.15
1503960366_2016-05-02,1503960366,5/2/2016,1,277,309,4.616666667
1503960366_2016-05-03,1503960366,5/3/2016,1,273,296,4.55
1503960366_2016-05-05,1503960366,5/5/2016,1,247,264,4.116666667
1503960366_2016-05-06,1503960366,5/6/2016,1,334,367,5.566666667
1503960366_2016-05-07,1503960366,5/7/2016,1,331,349,5.516666667
1503960366_2016-05-08,1503960366,5/8/2016,1,594,611,9.9
1503960366_2016-05-09,1503960366,5/9/2016,1,338,342,5.633333333
1503960366_2016-05-10,1503960366,5/10/2016,1,383,403,6.383333333
1503960366_2016-05-11,1503960366,5/11/2016,1,285,306,4.75
1644430081_2016-04-29,1644430081,4/29/2016,1,119,127,1.983333333
1644430081_2016-04-30,1644430081,4/30/2016,1,124,142,2.066666667
1644430081_2016-05-02,1644430081,5/2/2016,1,796,961,13.26666667
1644430081_2016-05-08,1644430081,5/8/2016,1,137,154,2.283333333
1844505072_2016-04-15,1844505072,4/15/2016,1,644,961,10.73333333
1844505072_2016-04-30,1844505072,4/30/2016,1,722,961,12.03333333
1844505072_2016-05-01,1844505072,5/1/2016,1,590,961,9.833333333
1927972279_2016-04-12,1927972279,4/12/2016,3,750,775,12.5
1927972279_2016-04-13,1927972279,4/13/2016,1,398,422,6.633333333
1927972279_2016-04-15,1927972279,4/15/2016,2,475,499,7.916666667
1927972279_2016-04-26,1927972279,4/26/2016,1,296,315,4.933333333
1927972279_2016-04-28,1927972279,4/28/2016,1,166,178,2.766666667
2026352035_2016-04-12,2026352035,4/12/2016,1,503,546,8.383333333
2026352035_2016-04-13,2026352035,4/13/2016,1,531,565,8.85
2026352035_2016-04-14,2026352035,4/14/2016,1,545,568,9.083333333
2026352035_2016-04-15,2026352035,4/15/2016,1,523,573,8.716666667
2026352035_2016-04-16,2026352035,4/16/2016,1,524,567,8.733333333
2026352035_2016-04-17,2026352035,4/17/2016,1,437,498,7.283333333
2026352035_2016-04-19,2026352035,4/19/2016,1,498,540,8.3
2026352035_2016-04-20,2026352035,4/20/2016,1,461,510,7.683333333
2026352035_2016-04-21,2026352035,4/21/2016,1,477,514,7.95
2026352035_2016-04-22,2026352035,4/22/2016,1,520,545,8.666666667
2026352035_2016-04-23,2026352035,4/23/2016,1,522,554,8.7
2026352035_2016-04-24,2026352035,4/24/2016,1,555,591,9.25
2026352035_2016-04-25,2026352035,4/25/2016,1,506,531,8.433333333
2026352035_2016-04-27,2026352035,4/27/2016,1,508,545,8.466666667
2026352035_2016-04-28,2026352035,4/28/2016,1,513,545,8.55
2026352035_2016-04-29,2026352035,4/29/2016,1,490,510,8.166666667
2026352035_2016-04-30,2026352035,4/30/2016,1,573,607,9.55
2026352035_2016-05-01,2026352035,5/1/2016,1,527,546,8.783333333
2026352035_2016-05-02,2026352035,5/2/2016,1,511,543,8.516666667
2026352035_2016-05-04,2026352035,5/4/2016,1,538,560,8.966666667
2026352035_2016-05-05,2026352035,5/5/2016,1,468,485,7.8
2026352035_2016-05-06,2026352035,5/6/2016,1,524,548,8.733333333
2026352035_2016-05-07,2026352035,5/7/2016,1,511,521,8.516666667
2026352035_2016-05-08,2026352035,5/8/2016,1,541,568,9.016666667
2026352035_2016-05-09,2026352035,5/9/2016,1,531,556,8.85
2026352035_2016-05-10,2026352035,5/10/2016,1,357,380,5.95
2026352035_2016-05-11,2026352035,5/11/2016,1,523,553,8.716666667
2026352035_2016-05-12,2026352035,5/12/2016,1,456,485,7.6
2320127002_2016-04-23,2320127002,4/23/2016,1,61,69,1.016666667
2347167796_2016-04-13,2347167796,4/13/2016,1,467,531,7.783333333
2347167796_2016-04-14,2347167796,4/14/2016,1,445,489,7.416666667
2347167796_2016-04-15,2347167796,4/15/2016,1,452,504,7.533333333
2347167796_2016-04-17,2347167796,4/17/2016,1,556,602,9.266666667
2347167796_2016-04-18,2347167796,4/18/2016,1,500,557,8.333333333
2347167796_2016-04-19,2347167796,4/19/2016,1,465,514,7.75
2347167796_2016-04-21,2347167796,4/21/2016,1,460,484,7.666666667
2347167796_2016-04-22,2347167796,4/22/2016,1,405,461,6.75
2347167796_2016-04-23,2347167796,4/23/2016,1,374,386,6.233333333
2347167796_2016-04-24,2347167796,4/24/2016,1,442,459,7.366666667
2347167796_2016-04-25,2347167796,4/25/2016,1,433,471,7.216666667
2347167796_2016-04-26,2347167796,4/26/2016,1,436,490,7.266666667
2347167796_2016-04-27,2347167796,4/27/2016,1,448,499,7.466666667
2347167796_2016-04-28,2347167796,4/28/2016,1,408,450,6.8
2347167796_2016-04-29,2347167796,4/29/2016,1,411,473,6.85
3977333714_2016-04-12,3977333714,4/12/2016,1,274,469,4.566666667
3977333714_2016-04-13,3977333714,4/13/2016,2,295,456,4.916666667
3977333714_2016-04-14,3977333714,4/14/2016,1,291,397,4.85
3977333714_2016-04-15,3977333714,4/15/2016,1,424,556,7.066666667
3977333714_2016-04-16,3977333714,4/16/2016,1,283,510,4.716666667
3977333714_2016-04-17,3977333714,4/17/2016,1,381,566,6.35
3977333714_2016-04-18,3977333714,4/18/2016,2,412,522,6.866666667
3977333714_2016-04-19,3977333714,4/19/2016,1,219,395,3.65
3977333714_2016-04-20,3977333714,4/20/2016,2,152,305,2.533333333
3977333714_2016-04-21,3977333714,4/21/2016,1,332,512,5.533333333
3977333714_2016-04-22,3977333714,4/22/2016,1,355,476,5.916666667
3977333714_2016-04-23,3977333714,4/23/2016,1,235,372,3.916666667
3977333714_2016-04-24,3977333714,4/24/2016,1,310,526,5.166666667
3977333714_2016-04-25,3977333714,4/25/2016,1,262,467,4.366666667
3977333714_2016-04-26,3977333714,4/26/2016,1,250,371,4.166666667
3977333714_2016-04-27,3977333714,4/27/2016,1,349,540,5.816666667
3977333714_2016-04-28,3977333714,4/28/2016,1,261,423,4.35
3977333714_2016-04-29,3977333714,4/29/2016,1,333,478,5.55
3977333714_2016-04-30,3977333714,4/30/2016,1,237,382,3.95
3977333714_2016-05-01,3977333714,5/1/2016,1,383,626,6.383333333
3977333714_2016-05-02,3977333714,5/2/2016,1,230,384,3.833333333
3977333714_2016-05-03,3977333714,5/3/2016,1,292,500,4.866666667
3977333714_2016-05-04,3977333714,5/4/2016,1,213,336,3.55
3977333714_2016-05-05,3977333714,5/5/2016,1,318,480,5.3
3977333714_2016-05-06,3977333714,5/6/2016,1,323,512,5.383333333
3977333714_2016-05-07,3977333714,5/7/2016,1,237,443,3.95
3977333714_2016-05-08,3977333714,5/8/2016,2,259,456,4.316666667
3977333714_2016-05-10,3977333714,5/10/2016,1,312,452,5.2
4020332650_2016-04-12,4020332650,4/12/2016,1,501,541,8.35
4020332650_2016-04-16,4020332650,4/16/2016,1,77,77,1.283333333
4020332650_2016-05-03,4020332650,5/3/2016,1,322,332,5.366666667
4020332650_2016-05-04,4020332650,5/4/2016,1,478,536,7.966666667
4020332650_2016-05-05,4020332650,5/5/2016,1,226,248,3.766666667
4020332650_2016-05-06,4020332650,5/6/2016,1,385,408,6.416666667
4020332650_2016-05-08,4020332650,5/8/2016,1,364,402,6.066666667
4020332650_2016-05-10,4020332650,5/10/2016,1,442,494,7.366666667
4319703577_2016-04-14,4319703577,4/14/2016,1,535,557,8.916666667
4319703577_2016-04-15,4319703577,4/15/2016,1,465,491,7.75
4319703577_2016-04-16,4319703577,4/16/2016,1,506,522,8.433333333
4319703577_2016-04-18,4319703577,4/18/2016,1,515,551,8.583333333
4319703577_2016-04-19,4319703577,4/19/2016,2,461,498,7.683333333
4319703577_2016-04-20,4319703577,4/20/2016,1,523,543,8.716666667
4319703577_2016-04-21,4319703577,4/21/2016,1,59,65,0.9833333333
4319703577_2016-04-22,4319703577,4/22/2016,1,533,550,8.883333333
4319703577_2016-04-23,4319703577,4/23/2016,1,692,722,11.53333333
4319703577_2016-04-24,4319703577,4/24/2016,1,467,501,7.783333333
4319703577_2016-04-25,4319703577,4/25/2016,1,488,506,8.133333333
4319703577_2016-04-26,4319703577,4/26/2016,1,505,516,8.416666667
4319703577_2016-04-27,4319703577,4/27/2016,1,286,307,4.766666667
4319703577_2016-04-28,4319703577,4/28/2016,1,497,522,8.283333333
4319703577_2016-04-29,4319703577,4/29/2016,1,523,546,8.716666667
4319703577_2016-04-30,4319703577,4/30/2016,1,490,516,8.166666667
4319703577_2016-05-01,4319703577,5/1/2016,1,484,500,8.066666667
4319703577_2016-05-02,4319703577,5/2/2016,1,478,506,7.966666667
4319703577_2016-05-03,4319703577,5/3/2016,1,474,512,7.9
4319703577_2016-05-06,4319703577,5/6/2016,1,450,491,7.5
4319703577_2016-05-07,4319703577,5/7/2016,1,507,530,8.45
4319703577_2016-05-08,4319703577,5/8/2016,1,602,638,10.03333333
4319703577_2016-05-09,4319703577,5/9/2016,1,535,565,8.916666667
4319703577_2016-05-10,4319703577,5/10/2016,1,487,517,8.116666667
4319703577_2016-05-11,4319703577,5/11/2016,1,529,558,8.816666667
4319703577_2016-05-12,4319703577,5/12/2016,1,302,321,5.033333333
4388161847_2016-04-15,4388161847,4/15/2016,1,499,526,8.316666667
4388161847_2016-04-16,4388161847,4/16/2016,2,426,448,7.1
4388161847_2016-04-17,4388161847,4/17/2016,2,619,641,10.31666667
4388161847_2016-04-18,4388161847,4/18/2016,1,99,104,1.65
4388161847_2016-04-19,4388161847,4/19/2016,1,329,338,5.483333333
4388161847_2016-04-20,4388161847,4/20/2016,1,421,451,7.016666667
4388161847_2016-04-21,4388161847,4/21/2016,1,442,458,7.366666667
4388161847_2016-04-22,4388161847,4/22/2016,1,82,85,1.366666667
4388161847_2016-04-23,4388161847,4/23/2016,1,478,501,7.966666667
4388161847_2016-04-24,4388161847,4/24/2016,3,552,595,9.2
4388161847_2016-04-26,4388161847,4/26/2016,1,319,346,5.316666667
4388161847_2016-04-27,4388161847,4/27/2016,1,439,500,7.316666667
4388161847_2016-04-28,4388161847,4/28/2016,1,428,458,7.133333333
4388161847_2016-04-30,4388161847,4/30/2016,2,409,430,6.816666667
4388161847_2016-05-01,4388161847,5/1/2016,1,547,597,9.116666667
4388161847_2016-05-02,4388161847,5/2/2016,2,368,376,6.133333333
4388161847_2016-05-04,4388161847,5/4/2016,1,390,414,6.5
4388161847_2016-05-05,4388161847,5/5/2016,1,471,495,7.85
4388161847_2016-05-05,4388161847,5/5/2016,1,471,495,7.85
4388161847_2016-05-07,4388161847,5/7/2016,1,472,496,7.866666667
4388161847_2016-05-08,4388161847,5/8/2016,2,529,541,8.816666667
4388161847_2016-05-09,4388161847,5/9/2016,1,62,65,1.033333333
4388161847_2016-05-10,4388161847,5/10/2016,1,354,375,5.9
4388161847_2016-05-11,4388161847,5/11/2016,1,469,494,7.816666667
4445114986_2016-04-12,4445114986,4/12/2016,2,429,457,7.15
4445114986_2016-04-13,4445114986,4/13/2016,2,370,406,6.166666667
4445114986_2016-04-14,4445114986,4/14/2016,1,441,492,7.35
4445114986_2016-04-15,4445114986,4/15/2016,2,337,379,5.616666667
4445114986_2016-04-16,4445114986,4/16/2016,1,462,499,7.7
4445114986_2016-04-17,4445114986,4/17/2016,1,98,107,1.633333333
4445114986_2016-04-19,4445114986,4/19/2016,2,388,424,6.466666667
4445114986_2016-04-20,4445114986,4/20/2016,1,439,462,7.316666667
4445114986_2016-04-21,4445114986,4/21/2016,1,436,469,7.266666667
4445114986_2016-04-22,4445114986,4/22/2016,1,388,417,6.466666667
4445114986_2016-04-25,4445114986,4/25/2016,1,328,345,5.466666667
4445114986_2016-04-26,4445114986,4/26/2016,2,353,391,5.883333333
4445114986_2016-04-27,4445114986,4/27/2016,1,332,374,5.533333333
4445114986_2016-04-28,4445114986,4/28/2016,1,419,442,6.983333333
4445114986_2016-04-29,4445114986,4/29/2016,1,106,108,1.766666667
4445114986_2016-04-30,4445114986,4/30/2016,1,322,353,5.366666667
4445114986_2016-05-01,4445114986,5/1/2016,2,439,459,7.316666667
4445114986_2016-05-02,4445114986,5/2/2016,1,502,542,8.366666667
4445114986_2016-05-03,4445114986,5/3/2016,2,417,450,6.95
4445114986_2016-05-04,4445114986,5/4/2016,2,337,363,5.616666667
4445114986_2016-05-05,4445114986,5/5/2016,2,462,513,7.7
4445114986_2016-05-06,4445114986,5/6/2016,2,374,402,6.233333333
4445114986_2016-05-07,4445114986,5/7/2016,2,401,436,6.683333333
4445114986_2016-05-08,4445114986,5/8/2016,1,361,391,6.016666667
4445114986_2016-05-09,4445114986,5/9/2016,1,457,533,7.616666667
4445114986_2016-05-10,4445114986,5/10/2016,1,405,426,6.75
4445114986_2016-05-11,4445114986,5/11/2016,1,499,530,8.316666667
4445114986_2016-05-12,4445114986,5/12/2016,1,483,501,8.05
4558609924_2016-04-21,4558609924,4/21/2016,1,126,137,2.1
4558609924_2016-04-26,4558609924,4/26/2016,1,103,121,1.716666667
4558609924_2016-04-29,4558609924,4/29/2016,1,171,179,2.85
4558609924_2016-05-01,4558609924,5/1/2016,1,115,129,1.916666667
4558609924_2016-05-08,4558609924,5/8/2016,1,123,134,2.05
4702921684_2016-04-12,4702921684,4/12/2016,1,425,439,7.083333333
4702921684_2016-04-13,4702921684,4/13/2016,2,400,430,6.666666667
4702921684_2016-04-14,4702921684,4/14/2016,1,384,415,6.4
4702921684_2016-04-15,4702921684,4/15/2016,1,253,257,4.216666667
